,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.2817,169.8464,46.92,63,100,10.58,overcast clouds
1,Tadine,NC,-21.55,167.8833,67.66,75,83,6.46,broken clouds
2,Thompson,CA,55.7435,-97.8558,69.89,37,97,7.14,overcast clouds
3,Chuy,UY,-33.6971,-53.4616,55.29,82,61,6.82,broken clouds
4,Kayerkan,RU,69.3497,87.7602,61.0,68,16,2.62,few clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,80.56,77,17,8.01,few clouds
6,Victoria,HK,22.2855,114.1577,82.94,93,100,1.01,moderate rain
7,Paracuru,BR,-3.41,-39.0306,82.42,70,52,14.09,broken clouds
8,Matamoros,MX,25.5333,-103.25,86.11,46,75,0.0,broken clouds
9,Qaanaaq,GL,77.484,-69.3632,45.23,68,12,2.73,few clouds
10,Vaini,TO,-21.2,-175.2,66.36,77,40,2.3,scattered clouds
11,Hilo,US,19.7297,-155.09,78.8,81,90,6.91,light rain
12,Bluff,NZ,-46.6,168.3333,35.8,76,100,5.75,overcast clouds
13,Alberdi,AR,-32.8899,-60.6906,69.91,34,0,4.0,clear sky
14,Lebu,CL,-37.6167,-73.65,56.44,81,99,17.27,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,55.06,44,75,11.5,broken clouds
16,Hay River,CA,60.8156,-115.7999,57.85,47,98,7.27,overcast clouds
17,Yellowknife,CA,62.456,-114.3525,58.32,54,100,4.38,overcast clouds
18,Saint-Augustin,CA,51.226,-58.6502,71.56,45,13,13.73,few clouds
19,Hobart,AU,-42.8794,147.3294,48.06,72,75,1.01,broken clouds
20,Kaka,TM,37.3482,59.6143,90.72,16,97,7.02,overcast clouds
21,Chipinge,ZW,-20.1883,32.6236,57.06,74,96,5.03,overcast clouds
22,Ilulissat,GL,69.2167,-51.1,53.62,54,1,3.44,clear sky
23,Xining,CN,36.6167,101.7667,54.72,77,84,3.22,broken clouds
24,Hithadhoo,MV,-0.6,73.0833,81.66,78,100,7.63,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,47.71,71,100,1.99,overcast clouds
26,Ko Samui,TH,9.5357,99.9357,81.95,78,100,23.35,overcast clouds
27,Port Alfred,ZA,-33.5906,26.891,62.37,88,73,4.43,broken clouds
28,Saint-Philippe,RE,-21.3585,55.7679,65.75,76,97,15.57,overcast clouds
29,Tasiilaq,GL,65.6145,-37.6368,50.16,76,93,0.6,overcast clouds
30,Nizhneudinsk,RU,54.9076,99.0276,60.42,78,99,2.53,overcast clouds
31,Ipixuna,BR,-1.7625,-48.8043,89.55,54,53,3.42,broken clouds
32,Husavik,IS,66.0449,-17.3389,55.54,79,88,2.98,overcast clouds
33,Katsuura,JP,35.1333,140.3,77.14,89,15,5.79,few clouds
34,Busselton,AU,-33.65,115.3333,49.08,89,1,5.53,clear sky
35,Inhambane,MZ,-23.865,35.3833,65.03,69,0,5.55,clear sky
36,Norfolk,US,42.1668,-71.2495,77.31,76,90,1.01,overcast clouds
37,Hofn,IS,64.2539,-15.2082,52.74,92,100,3.11,overcast clouds
38,Saint George,US,37.1041,-113.5841,106.27,15,1,4.0,clear sky
39,Mataura,NZ,-46.1927,168.8643,35.47,91,100,3.0,overcast clouds
40,Tuktoyaktuk,CA,69.4541,-133.0374,53.85,53,15,5.3,few clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,62.62,27,0,4.0,clear sky
42,Pahrump,US,36.2083,-115.9839,108.84,12,0,3.0,clear sky
43,Dwarka,IN,22.2394,68.9678,81.03,83,100,18.14,overcast clouds
44,Zhoucun,CN,36.8167,117.8167,78.26,82,74,4.07,broken clouds
45,Ancud,CL,-41.8697,-73.8203,59.23,80,100,7.34,overcast clouds
46,Dikson,RU,73.5069,80.5464,44.01,92,9,2.33,clear sky
47,Rikitea,PF,-23.1203,-134.9692,72.23,70,13,16.53,few clouds
48,Inta,RU,66.0317,60.1659,66.67,87,100,4.74,overcast clouds
49,Zhanaozen,KZ,43.3,52.8,90.27,18,2,8.7,clear sky
50,Srednekolymsk,RU,67.45,153.6833,38.25,93,100,7.74,overcast clouds
51,Georgetown,MY,5.4112,100.3354,81.9,84,20,0.0,few clouds
52,Chokwe,MZ,-24.5333,32.9833,63.66,64,0,8.66,clear sky
53,Klaksvik,FO,62.2266,-6.589,54.52,95,94,7.05,overcast clouds
54,Apiai,BR,-24.5094,-48.8425,55.35,81,81,4.54,broken clouds
55,Shenzhen,CN,22.5455,114.0683,82.83,97,100,9.69,moderate rain
56,Bethel,US,41.3712,-73.414,75.49,74,100,5.01,overcast clouds
57,Tshikapa,CD,-6.4167,20.8,79.74,24,1,3.11,clear sky
58,Leningradskiy,RU,69.3833,178.4167,41.0,90,98,3.27,overcast clouds
59,Vostok,RU,46.4856,135.8833,62.51,95,78,4.56,broken clouds
60,Khatanga,RU,71.9667,102.5,61.68,50,92,12.01,overcast clouds
61,Naliya,IN,23.2667,68.8333,81.95,75,100,15.59,overcast clouds
62,Micheweni,TZ,-4.9667,39.8333,74.43,79,26,12.15,scattered clouds
63,Wiarton,CA,44.7407,-81.1332,82.4,57,3,7.2,clear sky
64,Tucurui,BR,-3.7661,-49.6725,92.77,28,7,4.47,clear sky
65,Port-Cartier,CA,50.0334,-66.8654,62.92,52,0,9.28,clear sky
66,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,73,20,8.05,few clouds
67,Cherskiy,RU,68.75,161.3,43.97,85,96,4.52,overcast clouds
68,Hermanus,ZA,-34.4187,19.2345,56.89,92,36,5.7,scattered clouds
69,Dongsheng,CN,39.8161,109.9776,64.67,45,1,2.59,clear sky
70,Fairbanks,US,64.8378,-147.7164,75.54,53,1,1.01,smoke
71,Sangar,RU,63.9242,127.4739,56.86,39,4,3.31,clear sky
72,Bandarbeyla,SO,9.4942,50.8122,77.49,82,6,32.91,clear sky
73,Barrow,US,71.2906,-156.7887,55.42,71,1,8.05,clear sky
74,Sulangan,PH,11.1373,123.7228,83.82,73,97,12.48,overcast clouds
75,Kieta,PG,-6.2167,155.6333,77.79,85,25,5.82,scattered clouds
76,San Quintin,MX,30.4833,-115.95,75.88,68,5,16.87,clear sky
77,Gat,IL,31.61,34.7642,91.4,45,0,7.43,clear sky
78,Koungheul,SN,13.9833,-14.8,83.05,72,56,4.72,broken clouds
79,Serenje,ZM,-13.2325,30.2352,53.1,47,0,5.03,clear sky
80,Sri Aman,MY,1.2376,111.4621,74.91,99,98,0.6,overcast clouds
81,Sur,OM,22.5667,59.5289,92.95,49,100,10.78,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,59.88,89,19,4.0,few clouds
83,Mount Gambier,AU,-37.8333,140.7667,49.91,100,90,8.05,overcast clouds
84,Hanko,FI,59.8333,22.95,59.85,53,0,5.68,clear sky
85,Chyhyryn,UA,49.0838,32.6555,71.2,51,96,5.82,overcast clouds
86,Berlevag,NO,70.8578,29.0864,48.2,81,75,25.32,broken clouds
87,Gander,CA,48.9682,-54.5906,73.17,38,100,13.0,overcast clouds
88,Airai,TL,-8.9266,125.4092,55.47,76,19,3.78,few clouds
89,Nioki,CD,-2.7167,17.6833,79.66,29,5,1.34,clear sky
90,Batagay-Alyta,RU,67.8006,130.4114,52.61,43,0,13.15,clear sky
91,Grants,US,35.1473,-107.8514,82.63,21,40,12.66,scattered clouds
