,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,35.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
1,Hobart,AU,48.06,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
2,Auki,SB,74.16,clear sky,-8.7676,160.7034,Auki Motel
3,Sambava,MG,69.66,clear sky,-14.2667,50.1667,Melrose
4,Namwala,ZM,65.32,clear sky,-15.7504,26.4384,Corner Point Lodge
5,Ushuaia,AR,53.26,broken clouds,-54.8,-68.3,Albatros Hotel
6,New Norfolk,AU,47.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
7,Busselton,AU,48.04,clear sky,-33.65,115.3333,Observatory Guest House
8,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
9,Hilo,US,74.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Bayan,CN,66.34,scattered clouds,46.0833,127.4,Wanhao Inn
11,Bengkulu,ID,76.19,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
12,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
13,Vaini,TO,64.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
14,Lorengau,PG,79.57,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Kandava,LV,57.83,broken clouds,57.0409,22.7747,Tourism and Relaxation Centre Plosti
16,Kruisfontein,ZA,58.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
17,Castro,BR,61.43,few clouds,-24.7911,-50.0119,CHACARA BAILLY
18,Port Alfred,ZA,62.71,few clouds,-33.5906,26.891,The Halyards Hotel
19,Ilulissat,GL,48.22,clear sky,69.2167,-51.1,Hotel Arctic
20,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
21,Okhotsk,RU,52.79,clear sky,59.3833,143.3,
22,Ayer Tawar,MY,80.89,light rain,4.2954,100.7548,Ayer Tawar CK Homestay
23,Whitehorse,CA,63.37,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
24,Rikitea,PF,71.55,few clouds,-23.1203,-134.9692,People ThankYou
25,East London,ZA,63.54,few clouds,-33.0153,27.9116,Tu Casa
26,Emerald,AU,50.14,clear sky,-23.5333,148.1667,The Irish Village
27,Bredasdorp,ZA,58.32,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
28,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
29,San Cristobal,VE,77.16,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
30,Gorno-Altaysk,RU,59.11,scattered clouds,51.9561,85.955,"Otel' "" Ryzhiy Pos"""
31,Khatanga,RU,63.57,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
32,Punta Arenas,CL,57.31,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
33,Kaitangata,NZ,40.95,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
34,Dunmore East,IE,64.78,broken clouds,52.1514,-6.9861,The Strand Inn
35,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
36,Cabo San Lucas,MX,93.18,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Grimma,DE,70.57,overcast clouds,51.2333,12.7167,Hotel Kloster Nimbschen
38,Klaksvik,FO,58.12,overcast clouds,62.2266,-6.589,Airbnb rooms
39,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
40,Cape Town,ZA,59.88,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
41,Tsogni,GA,74.43,broken clouds,-2.7942,10.0988,
42,Seoul,KR,78.31,clear sky,37.5683,126.9778,롯데호텔 서울
43,Kailua,US,78.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
44,Zaysan,KZ,64.26,broken clouds,47.4667,84.8667,Ерлан үй
45,Barrow,US,44.62,scattered clouds,71.2906,-156.7887,King Eider Inn
46,Nanortalik,GL,45.91,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
47,Port Hardy,CA,64.58,broken clouds,50.6996,-127.4199,Airport Inn
48,Bluff,NZ,35.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
49,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
50,Arman,RU,45.21,broken clouds,59.7,150.1667,
51,Mount Isa,AU,55.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
52,Alofi,NU,57.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
53,Albany,US,78.82,overcast clouds,42.6001,-73.9662,
54,Bethel,US,76.1,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
55,Talnakh,RU,69.04,scattered clouds,69.4865,88.3972,Talnakh Hotel
56,Batticaloa,LK,81.36,overcast clouds,7.7102,81.6924,Grand Star Guest House
57,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Umarkot,PK,86.2,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
59,Lovington,US,79.18,few clouds,32.944,-103.3485,Buena vida rv parks
60,Pevek,RU,38.59,overcast clouds,69.7008,170.3133,Hotel ABC
61,Codrington,AU,51.19,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
62,Atuona,PF,77.95,overcast clouds,-9.8,-139.0333,Villa Enata
63,Chuy,UY,59.29,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
64,Mareeba,AU,57.92,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
65,Taunggyi,MM,62.56,overcast clouds,20.7833,97.0333,True Treasure Hotel
66,Muros,ES,74.98,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
67,Coahuayana,MX,89.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
68,Hermanus,ZA,58.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Ushumun,RU,58.33,light rain,52.7833,126.5333,
70,Pundaguitan,PH,83.32,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
71,Saint-Philippe,RE,67.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Kamenka,RU,66.88,broken clouds,51.3223,42.7678,
73,Meadow Lake,US,82.81,clear sky,34.8014,-106.5436,TumbleWeed RV Park
74,Broome,US,79.63,clear sky,42.2506,-75.833,Chenango Valley State Park
75,Tuktoyaktuk,CA,53.6,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
76,Padang,ID,76.26,overcast clouds,-0.9492,100.3543,Mercure Padang
77,Kavieng,PG,81.03,broken clouds,-2.5744,150.7967,Nusa Island Retreat
78,Presidencia Roque Saenz Pena,AR,69.22,overcast clouds,-26.7852,-60.4388,Hotel Gualok
79,Atasu,KZ,71.55,few clouds,48.6814,71.6433,Dostyk
81,Upernavik,GL,45.1,few clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
82,Rancho Palos Verdes,US,95.27,clear sky,33.7445,-118.387,Terranea Resort
83,Korla,CN,85.57,overcast clouds,41.7597,86.1469,Gulisitan Hotel
84,Vila Velha,BR,73.35,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
85,Petropavlovsk-Kamchatskiy,RU,39.79,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
86,Verkhnevilyuysk,RU,60.12,overcast clouds,63.4453,120.3167,Gostinitsa Mila
87,Aksay,RU,88.25,few clouds,47.26,39.87,Chernaya Zhemchuzhina
88,Constitucion,CL,58.68,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
89,Rafaela,AR,73.06,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
90,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
91,Amahai,ID,75.6,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
92,Lompoc,US,70.84,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
93,Qaqortoq,GL,50.5,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
94,Huanren,CN,71.4,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
96,Yuancheng,CN,73.62,broken clouds,36.652,107.7896,
97,Sao Filipe,CV,78.04,overcast clouds,14.8961,-24.4956,Hotel Xaguate
98,Cody,US,82.2,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
99,Praia Da Vitoria,PT,80.85,few clouds,38.7333,-27.0667,Hotel Branco I
100,Calolziocorte,IT,69.51,heavy intensity rain,45.7954,9.4377,Osteria Marascia
101,Jamestown,US,78.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
102,Yellowknife,CA,54.32,overcast clouds,62.456,-114.3525,The Explorer Hotel
103,Bandarbeyla,SO,77.41,clear sky,9.4942,50.8122,JABIR HOTEL
104,Jimma,ET,59.34,light rain,7.6667,36.8333,Jimma Central Hotel
105,Acarau,BR,86.95,scattered clouds,-2.8856,-40.12,castelo pizzaria
106,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
107,Pochinki,RU,68.14,scattered clouds,54.6988,44.8668,Дом для заморских гостей
108,Dafeng,CN,84.15,broken clouds,23.4517,108.5881,Shenglong Hotel
110,Musoma,TZ,73.65,broken clouds,-1.5,33.8,New Peninsula Hotel
111,Geraldton,AU,48.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
112,Sitka,US,64.29,light rain,57.0531,-135.33,Westmark Sitka
113,Fortuna,US,52.14,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
114,Havre-Saint-Pierre,CA,64.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
115,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
116,Lieksa,FI,55.18,overcast clouds,63.3167,30.0167,Kaatrahovi
117,Qaanaaq,GL,45.46,broken clouds,77.484,-69.3632,Qaanaaq Hotel
118,Hamilton,US,83.48,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
120,Torbay,CA,74.88,overcast clouds,47.6666,-52.7314,Gallows Cove
121,Caraballeda,VE,88.38,broken clouds,10.6112,-66.8522,Hotel 15 Letras
122,Portland,US,83.61,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
123,Victor Harbor,AU,54.19,broken clouds,-35.5667,138.6167,McCracken Country Club
124,Mitu,CO,85.42,overcast clouds,1.1983,-70.1733,
125,Kavaratti,IN,81.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
126,Yulara,AU,46.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
127,Binzhou,CN,79.56,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
128,Kaeo,NZ,59.32,moderate rain,-35.1,173.7833,Bushido Lodge
129,Airai,TL,55.54,scattered clouds,-8.9266,125.4092,Juvinal Martin
130,Liwan,PH,80.08,overcast clouds,17.5191,121.632,Castle Eatery
131,Faya,SA,71.71,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
132,Ostrovnoy,RU,48.79,overcast clouds,68.0531,39.5131,
133,Zitiste,RS,84.22,broken clouds,45.485,20.5497,Restoran sa prenoćištem Žitište
134,Mansehra,PK,73.24,broken clouds,34.3333,73.2,Aashiana Hotel Manshera
135,Byron Bay,AU,51.87,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
136,Mormugao,IN,79.07,broken clouds,15.4,73.8,Coconut Creek Resort
137,Kodiak,US,53.11,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
138,Ashqelon,IL,91.4,clear sky,31.6693,34.5715,Leonardo Ashkelon
139,Baykit,RU,61.95,scattered clouds,61.67,96.37,
140,Murgab,TM,89.47,scattered clouds,37.4966,61.9714,
141,Valky,UA,75.06,overcast clouds,49.8387,35.6207,Мотель 1
142,Guanambi,BR,82.4,scattered clouds,-14.2233,-42.7814,Leopoldo Hotel
143,Ceuta,ES,89.62,clear sky,35.8903,-5.3075,Ceuta Puerta de Africa
144,Honiara,SB,74.88,scattered clouds,-9.4333,159.95,Heritage Park Hotel
145,Hobyo,SO,77.45,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
146,Ancud,CL,62.13,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
147,Iqaluit,CA,42.53,light rain,63.7506,-68.5145,Frobisher Inn
148,Tucurui,BR,94.78,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
149,Saint-Pierre,RE,67.64,broken clouds,-21.3393,55.4781,Lindsey Hôtel
150,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
151,Saskylakh,RU,50.31,overcast clouds,71.9167,114.0833,
152,Tasiilaq,GL,53.76,overcast clouds,65.6145,-37.6368,The Red House
153,Tamandare,BR,75.83,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
154,Totskoye,RU,82.49,overcast clouds,52.5248,52.7623,Gostinitsa
155,Butaritari,KI,82.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
156,Diamantino,BR,92.93,broken clouds,-14.4086,-56.4461,Hotel Delta
157,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
158,Carnarvon,AU,51.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
159,Ketchikan,US,61.27,heavy intensity rain,55.3422,-131.6461,Snows Cove Lodge
160,Isangel,VU,67.28,overcast clouds,-19.55,169.2667,Tanna Lodge
161,Belaya Gora,RU,43.47,overcast clouds,68.5333,146.4167,
162,Vysokogornyy,RU,59.43,moderate rain,50.1167,139.15,
163,Alindao,CF,71.15,light rain,5.0267,21.2088,OCHA Alindao
164,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
165,Provideniya,RU,53.56,overcast clouds,64.3833,-173.3,
166,Kirakira,SB,73.78,few clouds,-10.4544,161.9205,SanBiz Lodge
167,Antananarivo,MG,57.16,light intensity drizzle,-18.9137,47.5361,Hotel Carlton
168,Bubaque,GW,80.02,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
169,Arys,KZ,88.02,scattered clouds,42.4252,68.795,Gostinitsa
170,Coquimbo,CL,60.53,scattered clouds,-29.9533,-71.3436,Punto de encuentro
171,Port Lincoln,AU,54.86,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
172,Obanazawa,JP,74.19,broken clouds,38.6033,140.4019,ビジネスホテル すがはら
173,Xuddur,SO,78.71,overcast clouds,4.1213,43.8894,Banjanay Hotel
174,Pomuch,MX,87.8,few clouds,20.1333,-90.1833,ALBERGUE IMPI
175,Gwanda,ZW,58.51,clear sky,-20.9333,29.0,Mafax Homeways
176,Nacala,MZ,69.96,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
177,Jiuquan,CN,70.59,clear sky,39.7432,98.5174,Jiuquan Hotel
178,Arraial Do Cabo,BR,71.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
179,Nikolskoye,RU,62.49,broken clouds,59.7035,30.7861,Tourist House - Sablino
180,Oschersleben,DE,69.75,broken clouds,52.0333,11.25,Hotel Motorsport Arena
181,Makasar,ID,73.45,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
182,Bac Lieu,VN,80.28,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
183,Concordia,AR,68.07,clear sky,-31.393,-58.0209,Palmar Hotel Casino
184,Dikson,RU,48.92,broken clouds,73.5069,80.5464,
185,Kisesa,TZ,74.46,overcast clouds,-3.0833,34.15,
186,Alamogordo,US,81.14,few clouds,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
187,Ouallam,NE,98.55,few clouds,14.3188,2.0866,
188,Coihueco,CL,52.54,mist,-36.6167,-71.8333,Frutillares Coihueco
189,Preobrazheniye,RU,71.83,overcast clouds,42.9019,133.9064,Campsite Orlan
190,Neuquen,AR,58.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
191,Craig,US,72.84,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
192,Sioux Lookout,CA,84.27,smoke,50.1001,-91.917,Knobby's Fly-In Camps
193,Sorong,ID,77.56,overcast clouds,-0.8833,131.25,waigo splash hotel
194,Kemijarvi,FI,52.3,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
195,Cherskiy,RU,41.72,overcast clouds,68.75,161.3,Gostinitsa
196,Masyaf,SY,78.85,clear sky,35.0653,36.3406,Hotel restaurants and tourist Misyaf
197,Lithakia,GR,94.42,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
198,Mazamari,PE,87.01,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
199,Te Anau,NZ,34.09,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
200,Bajil,YE,86.16,broken clouds,15.0584,43.2851,فندق حضرموت
201,Siddipet,IN,76.23,overcast clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
202,Korem,ET,59.27,moderate rain,12.5058,39.5228,Lakomeliza Hotel
203,Ponta Do Sol,PT,79.72,broken clouds,32.6667,-17.1,Hotel do Campo
204,Bom Jesus,BR,94.17,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
205,Ashtabula,US,83.32,clear sky,41.7001,-80.7665,DFC Mobile Home Park & Sales
206,San Patricio,US,93.02,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
207,Akureyri,IS,57.13,scattered clouds,65.6835,-18.0878,Icelandair Hotel Akureyri
208,Igarka,RU,62.47,broken clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
209,Palmas,BR,93.07,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
210,Rincon,US,80.85,overcast clouds,32.296,-81.2354,Days Inn Rincon
211,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
212,Port Elizabeth,ZA,62.89,broken clouds,-33.918,25.5701,39 On Nile Guest House
213,Caxito,AO,73.53,few clouds,-8.5785,13.6643,
215,Zhezkazgan,KZ,80.64,scattered clouds,47.8043,67.7144,Hotel Zumrat
216,Bardiyah,LY,83.52,clear sky,31.7561,25.0865,بورتو بردية
217,San Nicolas,PH,80.01,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
218,Alugan,PH,79.95,overcast clouds,12.2188,125.4808,JM Lodge
219,Hirara,JP,82.09,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
220,Kodinsk,RU,65.07,overcast clouds,58.6881,99.1844,
221,Sompeta,IN,83.44,overcast clouds,18.9333,84.6,Netaji's Home
222,Ayan,RU,52.72,overcast clouds,56.45,138.1667,Gostinitsa
223,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
224,Hervey Bay,AU,52.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
225,Kupang,ID,75.22,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
226,Ipira,BR,77.88,overcast clouds,-12.1583,-39.7372,Pallace Hotel e Restaurante
227,Iquique,CL,60.84,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
228,Zaragoza,ES,85.44,few clouds,41.6561,-0.8773,Hotel Goya
229,Matara,LK,78.53,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
230,Kijang,KR,80.33,clear sky,35.2442,129.2139,Samyang Beach Villa
231,Saint-Joseph,RE,66.56,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
232,Northam,GB,69.42,broken clouds,51.0333,-4.2167,Durrant House Hotel
233,Clyde River,CA,37.63,light intensity drizzle,70.4692,-68.5914,Qamaq Hotel
234,Ginda,IN,66.11,scattered clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
235,Sangar,RU,57.94,clear sky,63.9242,127.4739,
236,Krasnoselkup,RU,64.99,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
237,Tual,ID,80.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
238,Nioro,GM,82.81,overcast clouds,13.35,-15.75,
239,Fare,PF,79.21,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
240,Faanui,PF,78.33,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
241,Abha,SA,71.42,few clouds,18.2164,42.5053,Abha Hotel
242,Hami,CN,86.61,clear sky,42.8,93.45,Laoyutang Resort
243,Hilton Head Island,US,81.0,overcast clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
244,Damietta,EG,87.69,clear sky,31.4165,31.8133,SULIMAN INN
245,Ngaoundere,CM,66.36,moderate rain,7.3167,13.5833,Hotel Mentong Palace
246,Margate,GB,70.18,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
247,Sisimiut,GL,47.07,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
248,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
249,Vardo,NO,48.18,broken clouds,70.3705,31.1107,Vardø Hotel AS
250,San Quintin,MX,76.37,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
251,Chokurdakh,RU,37.2,broken clouds,70.6333,147.9167,
252,Hovd,MN,69.67,broken clouds,48.0056,91.6419,Hotel Khovd
253,Westport,US,76.75,broken clouds,41.1415,-73.3579,The Westport Inn
254,Merrill,US,81.81,clear sky,45.1805,-89.6835,Prairie Motel
255,Shimoda,JP,80.71,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
256,Leshukonskoye,RU,56.59,broken clouds,64.8989,45.7622,Pryalitsa Hostel
257,Keti Bandar,PK,82.27,overcast clouds,24.1447,67.4497,Haji laloo memon house
258,Antofagasta,CL,66.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
259,Provost,CA,78.22,few clouds,52.3501,-110.2683,Canalta Hotel Provost
260,Dharchula,IN,73.74,overcast clouds,29.85,80.5333,Mahara Hotel
261,Dunedin,NZ,45.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
262,Juegang,CN,80.98,clear sky,32.3174,121.1855,Rudong Y Hotel
263,Huarmey,PE,69.12,broken clouds,-10.0681,-78.1522,Hotel Miramar
264,Freeport,US,77.38,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
265,Avera,US,82.71,scattered clouds,33.194,-82.5271,
266,Yabrud,SY,83.86,few clouds,33.9674,36.6574,المنزل
267,Rexburg,US,83.28,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
268,Pekalongan,ID,74.01,few clouds,-6.8886,109.6753,Namira Syariah Hotel
269,Saint George,US,99.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
271,Severo-Kurilsk,RU,50.86,overcast clouds,50.6789,156.125,Апартаменты/Квартиры посуточно
272,Kaihua,CN,67.86,broken clouds,23.3687,104.28,Zhongyu Hotel
273,Wawa,NG,79.38,light rain,9.9022,4.4192,
274,Thompson,CA,53.76,smoke,55.7435,-97.8558,Burntwood Hotel
275,Mount Gambier,AU,49.91,overcast clouds,-37.8333,140.7667,The Commodore
276,Ahipara,NZ,57.38,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
277,Mecca,SA,93.4,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
278,Tiksi,RU,40.28,clear sky,71.6872,128.8694,Arktika
279,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
280,Kirishi,RU,61.77,overcast clouds,59.4471,32.0205,Sportivnaya
281,Codajas,BR,89.44,scattered clouds,-3.8367,-62.0569,Hotel Tucunaré
282,Ayagoz,KZ,66.79,broken clouds,47.9714,80.4392,Gostinitsa Nur
283,Bairiki,KI,77.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
284,Genhe,CN,56.57,overcast clouds,50.7833,121.5167,Companionship Hotel
285,Hithadhoo,MV,82.06,overcast clouds,-0.6,73.0833,Scoop Guest House
286,Yagodnoye,RU,40.75,overcast clouds,62.55,149.6667,Гостевой дом
287,Neyshabur,IR,82.65,scattered clouds,36.2133,58.7958,Amiran Hotel
288,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
289,Rio Gallegos,AR,59.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
290,Lebu,CL,59.95,broken clouds,-37.6167,-73.65,Hostal Las Lilas
291,Puerto Maldonado,PE,84.6,clear sky,-12.6,-69.1833,Wasai Hotel
292,Tapejara,BR,65.39,broken clouds,-28.0681,-52.0139,Hotel Fontana
293,Kidal,ML,96.78,few clouds,18.4411,1.4078,
294,Rajula,IN,80.51,overcast clouds,21.05,71.4333,Lion Lords Inn Rajula
295,Saquarema,BR,71.74,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
296,Panjab,AF,58.44,scattered clouds,34.388,67.0233,
297,Siemiatycze,PL,64.26,overcast clouds,52.4272,22.8623,Hotel Kresowiak Siemiatycze
298,Bijie,CN,66.33,few clouds,27.3125,105.2942,Four Points by Sheraton Bijie
299,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
300,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
301,Takoradi,GH,78.08,broken clouds,4.8845,-1.7554,Raybow International Hotel
302,Canmore,CA,76.75,broken clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
