,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,35.47,84,100,2.44,overcast clouds
1,Hobart,AU,-42.8794,147.3294,48.06,70,40,1.99,scattered clouds
2,Auki,SB,-8.7676,160.7034,74.16,87,5,4.43,clear sky
3,Sambava,MG,-14.2667,50.1667,69.66,80,0,12.01,clear sky
4,Namwala,ZM,-15.7504,26.4384,65.32,30,0,6.35,clear sky
5,Ushuaia,AR,-54.8,-68.3,53.26,47,75,16.11,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,47.71,68,99,1.01,overcast clouds
7,Busselton,AU,-33.65,115.3333,48.04,90,1,6.22,clear sky
8,Cayenne,GF,4.9333,-52.3333,85.08,71,75,3.44,broken clouds
9,Hilo,US,19.7297,-155.09,74.8,87,90,5.75,light rain
10,Bayan,CN,46.0833,127.4,66.34,96,27,5.48,scattered clouds
11,Bengkulu,ID,-3.8004,102.2655,76.19,90,95,5.53,moderate rain
12,Avarua,CK,-21.2078,-159.775,73.45,64,17,6.91,few clouds
13,Vaini,TO,-21.2,-175.2,64.56,77,40,4.61,scattered clouds
14,Lorengau,PG,-2.0226,147.2712,79.57,81,78,2.44,broken clouds
15,Kandava,LV,57.0409,22.7747,57.83,63,66,5.7,broken clouds
16,Kruisfontein,ZA,-34.0033,24.7314,58.89,94,99,1.34,overcast clouds
17,Castro,BR,-24.7911,-50.0119,61.43,53,15,7.96,few clouds
18,Port Alfred,ZA,-33.5906,26.891,62.71,87,23,6.64,few clouds
19,Ilulissat,GL,69.2167,-51.1,48.22,76,1,4.61,clear sky
20,Grand Gaube,MU,-20.0064,57.6608,70.2,78,35,5.99,scattered clouds
21,Okhotsk,RU,59.3833,143.3,52.79,89,6,4.38,clear sky
22,Ayer Tawar,MY,4.2954,100.7548,80.89,83,20,0.0,light rain
23,Whitehorse,CA,60.7161,-135.0538,63.37,63,75,10.0,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,71.55,69,16,14.7,few clouds
25,East London,ZA,-33.0153,27.9116,63.54,88,20,4.61,few clouds
26,Emerald,AU,-23.5333,148.1667,50.14,46,1,9.22,clear sky
27,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,29,3.44,scattered clouds
28,Mahebourg,MU,-20.4081,57.7,70.09,68,75,21.94,light rain
29,San Cristobal,VE,7.7669,-72.225,77.16,63,95,7.0,overcast clouds
30,Gorno-Altaysk,RU,51.9561,85.955,59.11,86,41,5.57,scattered clouds
31,Khatanga,RU,71.9667,102.5,63.57,49,99,12.12,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,57.31,44,0,8.05,clear sky
33,Kaitangata,NZ,-46.2817,169.8464,40.95,87,100,10.09,overcast clouds
34,Dunmore East,IE,52.1514,-6.9861,64.78,73,75,13.8,broken clouds
35,Georgetown,MY,5.4112,100.3354,82.33,83,20,2.3,few clouds
36,Cabo San Lucas,MX,22.8909,-109.9124,93.18,63,75,4.61,broken clouds
37,Grimma,DE,51.2333,12.7167,70.57,71,91,5.86,overcast clouds
38,Klaksvik,FO,62.2266,-6.589,58.12,94,88,9.08,overcast clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,62.62,60,0,5.99,clear sky
40,Cape Town,ZA,-33.9258,18.4232,59.88,87,20,5.01,few clouds
41,Tsogni,GA,-2.7942,10.0988,74.43,83,60,8.59,broken clouds
42,Seoul,KR,37.5683,126.9778,78.31,86,0,2.3,clear sky
43,Kailua,US,21.4022,-157.7394,78.78,68,40,12.66,scattered clouds
44,Zaysan,KZ,47.4667,84.8667,64.26,69,77,5.88,broken clouds
45,Barrow,US,71.2906,-156.7887,44.62,93,40,8.05,scattered clouds
46,Nanortalik,GL,60.1432,-45.2371,45.91,93,100,4.32,overcast clouds
47,Port Hardy,CA,50.6996,-127.4199,64.58,88,75,5.75,broken clouds
48,Bluff,NZ,-46.6,168.3333,35.8,76,100,3.47,overcast clouds
49,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,16.11,scattered clouds
50,Arman,RU,59.7,150.1667,45.21,64,63,10.42,broken clouds
51,Mount Isa,AU,-20.7333,139.5,55.17,33,6,14.97,clear sky
52,Alofi,NU,-19.0595,-169.9187,57.09,100,35,1.14,scattered clouds
53,Albany,US,42.6001,-73.9662,78.82,59,100,1.01,overcast clouds
54,Bethel,US,41.3712,-73.414,76.1,69,1,6.91,clear sky
55,Talnakh,RU,69.4865,88.3972,69.04,58,49,2.82,scattered clouds
56,Batticaloa,LK,7.7102,81.6924,81.36,70,96,9.66,overcast clouds
57,Kapaa,US,22.0752,-159.319,80.92,76,75,4.0,light rain
58,Umarkot,PK,25.3616,69.7362,86.2,63,100,20.69,overcast clouds
59,Lovington,US,32.944,-103.3485,79.18,43,23,4.0,few clouds
60,Pevek,RU,69.7008,170.3133,38.59,94,100,7.47,overcast clouds
61,Codrington,AU,-38.2667,141.9667,51.19,88,42,11.95,scattered clouds
62,Atuona,PF,-9.8,-139.0333,77.95,66,100,12.84,overcast clouds
63,Chuy,UY,-33.6971,-53.4616,59.29,66,62,6.13,broken clouds
64,Mareeba,AU,-17.0,145.4333,57.92,68,18,2.86,few clouds
65,Taunggyi,MM,20.7833,97.0333,62.56,96,100,4.38,overcast clouds
66,Muros,ES,42.7762,-9.0603,74.98,75,51,8.34,broken clouds
67,Coahuayana,MX,18.7333,-103.6833,89.08,56,58,5.88,broken clouds
68,Hermanus,ZA,-34.4187,19.2345,58.89,89,56,6.91,broken clouds
69,Ushumun,RU,52.7833,126.5333,58.33,98,100,5.66,light rain
70,Pundaguitan,PH,6.3711,126.1689,83.32,77,46,14.09,scattered clouds
71,Saint-Philippe,RE,-21.3585,55.7679,67.55,78,91,15.99,light rain
72,Kamenka,RU,51.3223,42.7678,66.88,58,81,6.31,broken clouds
73,Meadow Lake,US,34.8014,-106.5436,82.81,45,1,5.06,clear sky
74,Broome,US,42.2506,-75.833,79.63,56,1,1.01,clear sky
75,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,71,40,10.36,scattered clouds
76,Padang,ID,-0.9492,100.3543,76.26,85,95,3.94,overcast clouds
77,Kavieng,PG,-2.5744,150.7967,81.03,76,61,3.44,broken clouds
78,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.22,33,100,4.7,overcast clouds
79,Atasu,KZ,48.6814,71.6433,71.55,42,13,7.72,few clouds
80,Oranjemund,NA,-28.55,16.4333,56.01,85,19,2.93,few clouds
81,Upernavik,GL,72.7868,-56.1549,45.1,80,16,6.08,few clouds
82,Rancho Palos Verdes,US,33.7445,-118.387,95.27,78,1,1.01,clear sky
83,Korla,CN,41.7597,86.1469,85.57,20,100,4.52,overcast clouds
