City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,34.48,99,99,3.83,overcast clouds
1,Savannah Bight,HN,16.45,-85.85,89.65,79,100,19.71,overcast clouds
2,Albany,US,42.6001,-73.9662,88.14,60,17,3.71,few clouds
3,Victoria,HK,22.2855,114.1577,85.32,92,100,1.01,light rain
4,Hobart,AU,-42.8794,147.3294,44.46,87,12,4.0,few clouds
5,Katsuura,JP,35.1333,140.3,84.31,89,100,24.09,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,42.46,61,40,6.91,scattered clouds
7,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,18.41,broken clouds
8,Bengkulu,ID,-3.8004,102.2655,76.55,91,62,4.52,broken clouds
9,Saskylakh,RU,71.9167,114.0833,60.19,56,87,8.08,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,46.35,71,100,10.0,light rain
11,Airai,TL,-8.9266,125.4092,54.3,88,38,1.66,scattered clouds
12,Bogorodskoye,RU,56.55,37.8833,70.79,90,0,4.9,clear sky
13,Waddan,LY,29.1614,16.139,94.55,19,0,12.82,clear sky
14,Tefe,BR,-3.3542,-64.7114,89.71,66,20,5.75,few clouds
15,Tripoli,LY,32.8752,13.1875,87.44,57,0,19.64,clear sky
16,Busselton,AU,-33.65,115.3333,55.09,78,100,24.29,overcast clouds
17,Mahebourg,MU,-20.4081,57.7,69.26,100,75,3.44,moderate rain
18,Biltine,TD,14.5333,20.9167,77.49,75,100,13.89,overcast clouds
19,Bereznik,RU,62.8551,42.7072,52.52,98,100,10.11,moderate rain
20,Khandyga,RU,62.6667,135.6,55.31,63,11,1.97,few clouds
21,Lebu,CL,-37.6167,-73.65,50.11,66,11,9.17,few clouds
22,Vaini,TO,-21.2,-175.2,60.96,94,40,2.3,scattered clouds
23,Lata,PT,40.1629,-8.3327,77.04,59,0,6.67,clear sky
24,Kahului,US,20.8947,-156.47,80.62,67,20,13.8,few clouds
25,Port Macquarie,AU,-31.4333,152.9167,49.96,67,100,3.49,overcast clouds
26,Castro,BR,-24.7911,-50.0119,65.37,63,99,3.67,overcast clouds
27,Taltal,CL,-25.4,-70.4833,59.23,63,80,7.92,broken clouds
28,Husavik,IS,66.0449,-17.3389,57.11,85,45,7.47,scattered clouds
29,San Patricio,US,28.017,-97.5169,94.01,51,10,19.73,clear sky
