,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,35.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
1,Hobart,AU,48.06,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
6,New Norfolk,AU,47.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
7,Busselton,AU,48.04,clear sky,-33.65,115.3333,Observatory Guest House
19,Ilulissat,GL,48.22,clear sky,69.2167,-51.1,Hotel Arctic
33,Kaitangata,NZ,40.95,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
45,Barrow,US,44.62,scattered clouds,71.2906,-156.7887,King Eider Inn
46,Nanortalik,GL,45.91,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
48,Bluff,NZ,35.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
50,Arman,RU,45.21,broken clouds,59.7,150.1667,
60,Pevek,RU,38.59,overcast clouds,69.7008,170.3133,Hotel ABC
81,Upernavik,GL,45.1,few clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
85,Petropavlovsk-Kamchatskiy,RU,39.79,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
90,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
111,Geraldton,AU,48.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
117,Qaanaaq,GL,45.46,broken clouds,77.484,-69.3632,Qaanaaq Hotel
126,Yulara,AU,46.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
132,Ostrovnoy,RU,48.79,overcast clouds,68.0531,39.5131,
147,Iqaluit,CA,42.53,light rain,63.7506,-68.5145,Frobisher Inn
161,Belaya Gora,RU,43.47,overcast clouds,68.5333,146.4167,
184,Dikson,RU,48.92,broken clouds,73.5069,80.5464,
195,Cherskiy,RU,41.72,overcast clouds,68.75,161.3,Gostinitsa
199,Te Anau,NZ,34.09,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
233,Clyde River,CA,37.63,light intensity drizzle,70.4692,-68.5914,Qamaq Hotel
247,Sisimiut,GL,47.07,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
249,Vardo,NO,48.18,broken clouds,70.3705,31.1107,Vardø Hotel AS
251,Chokurdakh,RU,37.2,broken clouds,70.6333,147.9167,
261,Dunedin,NZ,45.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
275,Mount Gambier,AU,49.91,overcast clouds,-37.8333,140.7667,The Commodore
278,Tiksi,RU,40.28,clear sky,71.6872,128.8694,Arktika
286,Yagodnoye,RU,40.75,overcast clouds,62.55,149.6667,Гостевой дом
312,Alice Springs,AU,36.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
315,Ola,RU,47.82,overcast clouds,59.5833,151.2833,
325,Tuatapere,NZ,35.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
333,Honningsvag,NO,49.75,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
377,Deputatskiy,RU,38.23,few clouds,69.3,139.9,Baza Otdykha
417,Tilichiki,RU,40.12,overcast clouds,60.4667,166.1,
419,Esperance,AU,46.24,clear sky,-33.8667,121.9,Hospitality Esperance
424,Christchurch,NZ,48.0,overcast clouds,-43.5333,172.6333,The George
425,Bilibino,RU,42.98,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
446,Burnie,AU,48.92,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
451,Maniitsoq,GL,44.65,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
513,Batagay,RU,46.0,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
519,Leningradskiy,RU,38.5,overcast clouds,69.3833,178.4167,Gostinitsa
539,Blackwater,AU,48.33,clear sky,-23.5833,148.8833,Blackwater Motor Inn
553,Evensk,RU,43.54,overcast clouds,61.95,159.2333,
564,Ulaanbaatar,MN,48.33,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
570,Coihaique,CL,45.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
622,Broken Hill,AU,46.11,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
625,Berlevag,NO,48.2,broken clouds,70.8578,29.0864,Kvitbrakka
627,Paamiut,GL,45.72,light rain,61.994,-49.6678,Hotel Ivaana
629,Hanmer Springs,NZ,39.83,overcast clouds,-42.5167,172.8167,The Chalets Motel
638,Srednekolymsk,RU,37.38,overcast clouds,67.45,153.6833,
667,Ust-Nera,RU,45.27,few clouds,64.5667,143.2,Hotel Ust-Nera
