,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-07-26 01:59:27,-54.8,-68.3,33.46,86,40,4.61
1,Bluff,NZ,2021-07-26 01:58:20,-46.6,168.3333,48.79,84,100,1.52
2,Tautira,PF,2021-07-26 02:00:46,-17.7333,-149.15,82.42,70,4,5.17
3,Chuy,UY,2021-07-26 01:58:44,-33.6971,-53.4616,58.37,97,3,4.9
4,Hermanus,ZA,2021-07-26 01:58:17,-34.4187,19.2345,51.8,51,100,9.51
5,Guilin,CN,2021-07-26 02:00:13,25.2819,110.2864,87.96,63,2,2.3
6,Puerto Ayora,EC,2021-07-26 01:58:59,-0.7393,-90.3518,71.55,88,3,7.0
7,Saldanha,ZA,2021-07-26 02:00:30,-33.0117,17.9442,62.91,41,100,20.89
8,Kodiak,US,2021-07-26 01:58:14,57.79,-152.4072,54.63,82,42,8.19
9,Bambous Virieux,MU,2021-07-26 01:59:07,-20.3428,57.7575,70.05,64,75,10.36
10,Georgetown,MY,2021-07-26 01:58:27,5.4112,100.3354,86.9,82,20,0.0
11,Torbay,CA,2021-07-26 01:53:46,47.6666,-52.7314,56.57,93,90,11.5
12,Mahebourg,MU,2021-07-26 01:53:50,-20.4081,57.7,70.09,64,75,10.36
13,Jamestown,US,2021-07-26 01:56:59,42.097,-79.2353,70.36,94,93,3.29
14,Rikitea,PF,2021-07-26 01:58:19,-23.1203,-134.9692,71.51,73,22,6.02
15,Pacific Grove,US,2021-07-26 02:04:22,36.6177,-121.9166,80.29,86,75,5.99
16,Khatanga,RU,2021-07-26 01:59:24,71.9667,102.5,59.74,59,70,1.99
17,Panubigan,PH,2021-07-26 02:04:22,7.4281,123.3466,83.84,72,23,9.6
18,Akdepe,TM,2021-07-26 02:04:23,42.0551,59.3788,80.6,38,0,12.26
19,Barrow,US,2021-07-26 01:58:27,71.2906,-156.7887,39.22,95,90,18.41
20,Cape Town,ZA,2021-07-26 01:53:34,-33.9258,18.4232,62.11,32,0,1.14
21,Paamiut,GL,2021-07-26 01:59:37,61.994,-49.6678,45.48,69,100,2.19
22,Zvishavane,ZW,2021-07-26 02:04:23,-20.3267,30.0665,41.59,80,0,3.27
23,Kholodnyy,RU,2021-07-26 02:04:24,62.7167,147.95,53.98,86,100,5.75
24,Sao Filipe,CV,2021-07-26 01:58:33,14.8961,-24.4956,73.71,77,74,6.04
25,Skara,SE,2021-07-26 02:04:24,58.3866,13.4384,64.11,74,38,1.99
26,Upernavik,GL,2021-07-26 01:54:05,72.7868,-56.1549,42.71,74,99,3.83
27,Porto Velho,BR,2021-07-26 02:04:25,-8.7619,-63.9039,78.85,73,0,0.0
28,Sao Desiderio,BR,2021-07-26 02:04:25,-12.3633,-44.9733,67.53,56,30,4.61
29,Bengkulu,ID,2021-07-26 01:58:37,-3.8004,102.2655,81.16,63,0,2.51
30,Mataura,NZ,2021-07-26 01:53:27,-46.1927,168.8643,48.47,88,100,1.57
31,Gumdag,TM,2021-07-26 02:04:26,39.2061,54.5906,80.56,78,0,8.25
32,Atuona,PF,2021-07-26 01:58:23,-9.8,-139.0333,78.28,71,6,24.85
33,Busselton,AU,2021-07-26 02:04:26,-33.65,115.3333,65.05,71,1,25.17
34,Kamenka,RU,2021-07-26 01:58:32,51.3223,42.7678,59.09,62,7,3.36
35,Tuktoyaktuk,CA,2021-07-26 01:58:19,69.4541,-133.0374,48.2,87,75,9.22
36,Albany,US,2021-07-26 02:03:39,42.6001,-73.9662,72.39,94,0,4.09
37,Gravelbourg,CA,2021-07-26 02:04:27,49.8834,-106.5512,82.56,27,18,11.27
38,Aberdeen,GB,2021-07-26 02:04:27,57.1437,-2.0981,61.48,100,90,5.75
39,Cabo San Lucas,MX,2021-07-26 01:57:14,22.8909,-109.9124,92.52,66,1,7.0
40,Port-Gentil,GA,2021-07-26 02:04:28,-0.7193,8.7815,75.33,81,100,7.52
41,Buenaventura,CO,2021-07-26 02:04:28,3.8801,-77.0312,73.9,95,100,1.83
42,Harper,LR,2021-07-26 01:59:59,4.375,-7.7169,75.76,77,58,7.02
43,Ancud,CL,2021-07-26 01:58:24,-41.8697,-73.8203,38.73,79,7,7.16
44,Vao,NC,2021-07-26 02:04:29,-22.6667,167.4833,70.72,65,87,19.62
45,Leningradskiy,RU,2021-07-26 02:01:13,69.3833,178.4167,39.92,85,99,6.58
46,Punta Arenas,CL,2021-07-26 02:03:35,-53.15,-70.9167,33.12,70,88,13.44
47,Hamilton,US,2021-07-26 01:56:10,39.1834,-84.5333,79.99,82,88,2.98
48,Umm Lajj,SA,2021-07-26 02:04:29,25.0213,37.2685,84.47,55,8,10.31
49,Victoria,HK,2021-07-26 01:54:02,22.2855,114.1577,90.97,81,47,1.01
50,Butaritari,KI,2021-07-26 01:58:40,3.0707,172.7902,78.96,87,99,15.84
51,Verkh-Usugli,RU,2021-07-26 02:04:30,52.7,115.1667,63.68,68,100,5.68
52,Nemuro,JP,2021-07-26 01:59:45,43.3236,145.575,73.83,87,0,8.52
53,Dudinka,RU,2021-07-26 02:04:31,69.4058,86.1778,60.66,62,83,5.73
54,Kapaa,US,2021-07-26 01:58:15,22.0752,-159.319,87.78,79,61,3.0
55,Thompson,CA,2021-07-26 02:00:17,55.7435,-97.8558,60.69,32,5,6.96
56,Hobart,AU,2021-07-26 01:56:34,-42.8794,147.3294,55.26,54,75,11.5
57,Vaini,TO,2021-07-26 01:58:38,-21.2,-175.2,80.76,83,20,9.22
58,Yulara,AU,2021-07-26 01:59:33,-25.2406,130.9889,64.24,29,0,8.05
