,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-08-04 00:35:39,-9.8,-139.0333,77.41,72,89,15.05
1,Bluff,NZ,2021-08-04 00:35:42,-46.6,168.3333,44.8,67,99,6.38
2,Cecina,IT,2021-08-04 00:42:52,43.3128,10.524,71.91,76,21,5.01
3,Portland,US,2021-08-04 00:36:43,45.5234,-122.6762,93.7,42,40,1.99
4,Busselton,AU,2021-08-04 00:36:11,-33.65,115.3333,53.82,74,65,3.02
5,Boyolangu,ID,2021-08-04 00:42:52,-8.1181,111.8935,78.1,84,55,7.05
6,Avarua,CK,2021-08-04 00:36:39,-21.2078,-159.775,75.25,73,20,8.05
7,Sargatskoye,RU,2021-08-04 00:42:53,55.6101,73.4972,58.44,90,22,8.08
8,Provideniya,RU,2021-08-04 00:36:00,64.3833,-173.3,53.71,87,90,8.95
9,Abbeville,FR,2021-08-04 00:42:53,50.1,1.8333,55.69,91,25,1.99
10,Kiunga,PG,2021-08-04 00:42:54,-6.1219,141.2906,83.08,70,64,4.56
11,Sinnamary,GF,2021-08-04 00:42:54,5.3833,-52.95,76.78,85,10,6.8
12,Bredasdorp,ZA,2021-08-04 00:35:46,-34.5322,20.0403,54.72,82,94,3.44
13,Qaanaaq,GL,2021-08-04 00:31:32,77.484,-69.3632,41.95,96,100,3.67
14,Atar,MR,2021-08-04 00:37:21,20.5169,-13.0499,89.11,41,100,4.27
15,Tabou,CI,2021-08-04 00:42:55,4.423,-7.3528,75.45,85,100,6.42
16,Punta Arenas,CL,2021-08-04 00:33:05,-53.15,-70.9167,42.91,70,0,6.91
17,Pevek,RU,2021-08-04 00:35:35,69.7008,170.3133,36.82,92,100,4.05
18,Castro,BR,2021-08-04 00:36:25,-24.7911,-50.0119,44.55,93,57,4.76
19,Albany,US,2021-08-04 00:35:34,42.6001,-73.9662,68.61,80,100,2.98
20,San Luis,AR,2021-08-04 00:42:56,-33.295,-66.3356,54.1,36,11,1.43
21,Korla,CN,2021-08-04 00:42:56,41.7597,86.1469,80.76,23,59,4.27
22,Luderitz,NA,2021-08-04 00:36:32,-26.6481,15.1594,56.1,89,29,3.15
23,Walvis Bay,NA,2021-08-04 00:38:07,-22.9575,14.5053,59.09,94,0,4.61
24,Te Anau,NZ,2021-08-04 00:42:57,-45.4167,167.7167,43.75,72,100,0.47
25,Ostrovnoy,RU,2021-08-04 00:35:50,68.0531,39.5131,54.99,87,55,18.3
26,Saskylakh,RU,2021-08-04 00:35:38,71.9167,114.0833,63.54,37,76,11.48
27,Olinda,BR,2021-08-04 00:37:15,-8.0089,-34.8553,76.73,78,90,10.36
28,Marsh Harbour,BS,2021-08-04 00:35:29,26.5412,-77.0636,83.25,72,100,13.42
29,Yellowknife,CA,2021-08-04 00:35:32,62.456,-114.3525,64.92,42,75,3.0
30,Bethel,US,2021-08-04 00:37:41,41.3712,-73.414,70.68,78,1,0.0
31,Thompson,CA,2021-08-04 00:32:38,55.7435,-97.8558,84.36,39,75,10.36
32,Mongua,CO,2021-08-04 00:42:58,5.7508,-72.8034,43.81,95,61,3.87
33,Ribeira Grande,PT,2021-08-04 00:36:08,38.5167,-28.7,72.34,87,1,4.9
34,Moose Factory,CA,2021-08-04 00:42:59,51.2585,-80.6094,59.0,77,1,6.91
35,Kruisfontein,ZA,2021-08-04 00:33:00,-34.0033,24.7314,53.08,81,2,7.67
36,Cadiz,ES,2021-08-04 00:42:59,36.5,-5.75,71.74,80,100,3.11
37,Manakara,MG,2021-08-04 00:43:00,-22.1333,48.0167,65.97,88,96,7.31
38,Hermanus,ZA,2021-08-04 00:36:38,-34.4187,19.2345,52.9,90,52,6.02
39,Hilo,US,2021-08-04 00:36:01,19.7297,-155.09,80.33,69,75,9.22
40,Markovo,RU,2021-08-04 00:43:00,57.3206,107.0881,69.49,58,72,3.56
41,Itarema,BR,2021-08-04 00:36:28,-2.9248,-39.9167,77.86,79,69,8.21
42,Bom Jesus Dos Perdoes,BR,2021-08-04 00:43:01,-23.135,-46.4653,56.41,92,100,6.62
43,Upernavik,GL,2021-08-04 00:35:37,72.7868,-56.1549,40.84,90,23,11.83
44,Coihaique,CL,2021-08-04 00:43:01,-45.5752,-72.0662,39.15,81,0,5.75
45,Dikson,RU,2021-08-04 00:33:08,73.5069,80.5464,46.24,85,100,8.77
46,Cockburn Town,TC,2021-08-04 00:37:11,21.4612,-71.1419,82.36,77,24,21.05
47,Ambanja,MG,2021-08-04 00:43:02,-13.6833,48.45,69.17,93,88,2.64
48,Ushuaia,AR,2021-08-04 00:32:27,-54.8,-68.3,42.46,65,40,4.61
49,Bulaevo,KZ,2021-08-04 00:43:03,54.9056,70.4439,60.42,91,11,7.27
50,Yerbogachen,RU,2021-08-04 00:43:03,61.2767,108.0108,71.13,52,12,5.06
51,Nuevo Progreso,MX,2021-08-04 00:43:03,23.1667,-97.95,83.46,76,40,8.01
52,Jamestown,US,2021-08-04 00:36:10,42.097,-79.2353,71.19,56,1,0.0
53,Georgetown,MY,2021-08-04 00:32:30,5.4112,100.3354,80.53,92,40,0.0
54,Cape Town,ZA,2021-08-04 00:36:45,-33.9258,18.4232,57.11,86,0,1.99
55,Victoria,HK,2021-08-04 00:34:07,22.2855,114.1577,87.24,85,75,1.01
56,Katsuura,JP,2021-08-04 00:37:32,35.1333,140.3,87.91,70,3,4.54
57,Torbay,CA,2021-08-04 00:35:30,47.6666,-52.7314,63.68,81,20,20.71
58,Acapulco,MX,2021-08-04 00:42:35,16.8634,-99.8901,83.28,80,79,7.2
59,Vaini,TO,2021-08-04 00:35:40,-21.2,-175.2,73.56,88,40,14.97
60,Geraldton,AU,2021-08-04 00:35:38,-28.7667,114.6,48.13,81,0,8.05
61,Mar Del Plata,AR,2021-08-04 00:35:48,-38.0023,-57.5575,54.12,33,100,2.3
62,Xining,CN,2021-08-04 00:42:01,36.6167,101.7667,58.64,72,85,1.19
63,Evensk,RU,2021-08-04 00:36:06,61.95,159.2333,50.94,57,100,4.63
64,Cambridge,CA,2021-08-04 00:38:18,43.3601,-80.3127,74.53,66,75,12.66
